변수,계수,표준오차,t-stat,p-value,유의
const,81.9363,22.1461,3.7,<0.001,***
BankStress,1.3428,0.0623,21.54,<0.001,***
CreditSpread,-0.106,0.0318,-3.338,<0.001,***
VKOSPI,-0.4288,0.1473,-2.911,0.0036,***
KOSPI_ret,-0.627,0.2803,-2.237,0.0253,**
YieldSlope,-0.0522,0.0254,-2.051,0.0403,**
r10,-0.0664,1.3175,-0.05,0.9598,
