변수,계수,표준오차,t-stat,p-value,유의
BankStress,1.4016,0.0503,27.886,<0.001,***
CreditSpread,-0.0041,0.032,-0.129,0.8970,
VKOSPI,0.0271,0.0326,0.832,0.4056,
KOSPI_ret,-0.0651,0.031,-2.104,0.0354,**
YieldSlope,0.0193,0.0199,0.969,0.3326,
r10,-1.4216,0.3775,-3.766,<0.001,***
